Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,O,O.1,O.2,O.3,O.4,O.5,Unnamed: 19,Unnamed: 20
,강진군청 공공저작물 권리확인 요청 목록 (단순데이터),,,,,,,,,,,,,,,,,,,
,순번,사이트명,게시판 진입 과정,게시판명,게시물 제목,URL,등록일,기존 공공누리 유형,,개방여부,공공누리유형,,검토불가,단순/업무/비보호,제3자 권리,이미지/첨부파일,초상권,개인정보,의견,비고
,94,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2005년 환경,,2008-07-11 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,95,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2005년 교육 및 문화,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,96,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2005년 재정,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,97,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2005년 공공행정 및 사법,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,98,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 연혁,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,99,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 토지 및 기후,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,100,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 인구,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,101,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 노동,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,102,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 사업체,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,103,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 농림수산업,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,104,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 광공업,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,105,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 전기·가스·수도,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,106,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 유통·금융·보험 및 기타서비스,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,107,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 주택·건설,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,108,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 교통·관광 및 정보통신,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,109,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 보건 및 사회보장,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,110,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 환경,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,111,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 교육 및 문화,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,112,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 재정,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,113,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 공공행정 및 사법,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,114,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 부록,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,115,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2006년 기구표,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,116,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2007년 연혁,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,117,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2007년 토지 및 기후,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,118,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2007년 인구,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,119,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2007년 노동,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,120,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2007년 사업체,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,121,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2007년 농림수산업,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,122,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2007년 광업·제조업 및 에너지,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
,123,강진군청,HOME > 정보공개 > 강진의 통계 > 통계연보,통계연보,2007년 전기·가스·수도,,2008-07-12 00:00:00,미부착,,개방 가능,공공누리 1유형,,,O,,,,,단순 정보(통계자료),
